 number  2Theta(deg.)             d(Å)           Q(Å-1)   sin_Th/l (A-1)        1/d (A-1)        wave
 126         52.02165          1.75646          3.57719          0.28466          0.56933          1.54056
 127         52.04355          1.76014          3.56971          0.28407          0.56814          1.54439
 128         52.16075          1.75646          3.57719          0.28466          0.56933          1.54439
 129         52.16465          1.75198          3.58633          0.28539          0.57078          1.54056
 130         52.30415          1.75198          3.58633          0.28539          0.57078          1.54439
 131         52.55945          1.73975          3.61155          0.28740          0.57480          1.54056
 132         52.70015          1.73975          3.61155          0.28740          0.57480          1.54439
 133         52.70495          1.73529          3.62083          0.28814          0.57627          1.54056
 134         52.84605          1.73529          3.62083          0.28814          0.57627          1.54439
 135         52.95595          1.72765          3.63684          0.28941          0.57882          1.54056
 136         53.04245          1.72504          3.64235          0.28985          0.57970          1.54056
 137         53.09785          1.72765          3.63683          0.28941          0.57882          1.54439
 138         53.18465          1.72504          3.64235          0.28985          0.57970          1.54439
 139         53.49745          1.71143          3.67130          0.29215          0.58431          1.54056
 140         53.64105          1.71144          3.67130          0.29215          0.58430          1.54439
 141         54.15105          1.69231          3.71278          0.29545          0.59091          1.54056
 142         54.17525          1.69161          3.71432          0.29558          0.59115          1.54056
 143         54.29665          1.69231          3.71278          0.29545          0.59091          1.54439
 144         54.32095          1.69161          3.71431          0.29558          0.59115          1.54439
 145         55.57455          1.65229          3.80272          0.30261          0.60522          1.54056
 146         55.72475          1.65229          3.80272          0.30261          0.60522          1.54439
 147         56.04795          1.63945          3.83250          0.30498          0.60996          1.54056
 148         56.13075          1.63723          3.83770          0.30539          0.61079          1.54056
 149         56.19955          1.63945          3.83249          0.30498          0.60996          1.54439
 150         56.28275          1.63722          3.83770          0.30539          0.61079          1.54439
 151         56.44385          1.62888          3.85735          0.30696          0.61392          1.54056
 152         56.59675          1.62889          3.85735          0.30696          0.61392          1.54439
 153         56.67235          1.62286          3.87168          0.30810          0.61620          1.54056
 154         56.82605          1.62286          3.87168          0.30810          0.61620          1.54439
 155         56.83485          1.61860          3.88186          0.30891          0.61782          1.54056
 156         56.84885          1.61824          3.88273          0.30898          0.61796          1.54056
 157         56.98905          1.61860          3.88186          0.30891          0.61782          1.54439
 158         56.99435          1.61445          3.89184          0.30970          0.61941          1.54056
 159         57.00315          1.61824          3.88274          0.30898          0.61796          1.54439
 160         57.14915          1.61445          3.89184          0.30970          0.61941          1.54439
 161         57.30205          1.60651          3.91107          0.31123          0.62247          1.54056
 162         57.45775          1.60651          3.91107          0.31123          0.62247          1.54439
 163         57.45785          1.60253          3.92080          0.31201          0.62401          1.54056
 164         57.61405          1.60253          3.92080          0.31201          0.62401          1.54439
 165         58.13115          1.58556          3.96276          0.31535          0.63069          1.54056
 166         58.14085          1.58532          3.96337          0.31539          0.63079          1.54056
 167         58.28955          1.58556          3.96276          0.31535          0.63069          1.54439
 168         58.29925          1.58532          3.96336          0.31539          0.63079          1.54439
 169         58.72155          1.57102          3.99944          0.31827          0.63653          1.54056
 170         58.80235          1.56905          4.00446          0.31866          0.63733          1.54056
 171         58.81445          1.56875          4.00521          0.31872          0.63745          1.54056
 172         58.88185          1.57102          3.99944          0.31827          0.63653          1.54439
 173         58.92685          1.56603          4.01217          0.31928          0.63856          1.54056
 174         58.96295          1.56905          4.00446          0.31866          0.63733          1.54439
 175         58.97505          1.56876          4.00520          0.31872          0.63745          1.54439
 176         59.02045          1.56377          4.01797          0.31974          0.63948          1.54056
 177         59.04935          1.56307          4.01976          0.31988          0.63977          1.54056
 178         59.08785          1.56603          4.01217          0.31928          0.63856          1.54439
 179         59.11665          1.56145          4.02393          0.32021          0.64043          1.54056
 180         59.18185          1.56377          4.01798          0.31974          0.63948          1.54439
 181         59.21075          1.56307          4.01976          0.31988          0.63977          1.54439
